Deep Purple                                  	3.61779 	110K
Interpol                                     	3.64002 	91K
The Band                                     	3.73877 	40K
New York Philharmonic                        	3.8906  	12K
Iggy Pop                                     	3.6649  	72K
Mastodon                                     	3.65250 	80K
Glenn Gould                                  	3.87051 	13K
Low                                          	3.66450 	71K
Black Thought                                	3.78773 	25K
Yo La Tengo                                  	3.6682  	68K
Prefab Sprout                                	3.77178 	29K
Pete Rock & C.L. Smooth                      	3.88733 	11K
The Ronettes                                 	3.93091 	8K
Sun Ra                                       	3.68367 	59K
Ramones                                      	3.65214 	76K
Carly Rae Jepsen                             	3.62045 	100K
Hüsker Dü                                    	3.73341 	39K
Van Morrison                                 	3.65672 	73K
Bladee                                       	3.53867 	201K
Glenn Branca                                 	3.8170  	20K
Sonny Rollins                                	3.8014  	22K
Stars of the Lid                             	3.75694 	32K
Alex G                                       	3.67570 	61K
Artist                                       	Average 	Ratings

Note:
Madvillain
The Jimi Hendrix Experience
Prince and The Revolution
Stan Getz & João Gilberto
Nick Cave
Die 12 Cellisten der Berliner Philharmoniker
Captain Beefheart & The Magic Band
Freddie Gibbs & Madlib
E Street Band
The Africa '70
The Wailers
Steve Reich and Musicians
were removed as they are redundant
